lad22cd,lad22nm,lsoa21cd,category,count_21
E09000002,Barking and Dagenham,E01000046,Household is deprived in one dimension,222
E09000002,Barking and Dagenham,E01000046,Household is deprived in two dimensions,133
E09000002,Barking and Dagenham,E01000046,Household is deprived in three dimensions,56
E09000002,Barking and Dagenham,E01000046,Household is deprived in four dimensions,2
E09000002,Barking and Dagenham,E01000049,Household is not deprived in any dimension,132
E09000002,Barking and Dagenham,E01000049,Household is deprived in one dimension,246
E09000002,Barking and Dagenham,E01000049,Household is deprived in two dimensions,136
E09000002,Barking and Dagenham,E01000049,Household is deprived in three dimensions,56
E09000002,Barking and Dagenham,E01000049,Household is deprived in four dimensions,6
E09000002,Barking and Dagenham,E01000050,Household is not deprived in any dimension,233
E09000002,Barking and Dagenham,E01000050,Household is deprived in one dimension,261
E09000002,Barking and Dagenham,E01000050,Household is deprived in two dimensions,104
E09000002,Barking and Dagenham,E01000050,Household is deprived in three dimensions,31
E09000002,Barking and Dagenham,E01000050,Household is deprived in four dimensions,1
E09000002,Barking and Dagenham,E01000051,Household is not deprived in any dimension,239
E09000002,Barking and Dagenham,E01000051,Household is deprived in one dimension,151
E09000002,Barking and Dagenham,E01000051,Household is deprived in two dimensions,36
E09000002,Barking and Dagenham,E01000051,Household is deprived in three dimensions,11
E09000002,Barking and Dagenham,E01000051,Household is deprived in four dimensions,3
E09000002,Barking and Dagenham,E01000052,Household is not deprived in any dimension,298
E09000002,Barking and Dagenham,E01000052,Household is deprived in one dimension,303
E09000002,Barking and Dagenham,E01000052,Household is deprived in two dimensions,152
E09000002,Barking and Dagenham,E01000052,Household is deprived in three dimensions,44
E09000002,Barking and Dagenham,E01000052,Household is deprived in four dimensions,2
E09000002,Barking and Dagenham,E01000053,Household is not deprived in any dimension,178
E09000002,Barking and Dagenham,E01000053,Household is deprived in one dimension,284
E09000002,Barking and Dagenham,E01000053,Household is deprived in two dimensions,140
E09000002,Barking and Dagenham,E01000053,Household is deprived in three dimensions,49
E09000002,Barking and Dagenham,E01000053,Household is deprived in four dimensions,1
E09000002,Barking and Dagenham,E01000054,Household is not deprived in any dimension,230
E09000002,Barking and Dagenham,E01000054,Household is deprived in one dimension,242
E09000002,Barking and Dagenham,E01000054,Household is deprived in two dimensions,136
E09000002,Barking and Dagenham,E01000054,Household is deprived in three dimensions,33
E09000002,Barking and Dagenham,E01000054,Household is deprived in four dimensions,0
E09000002,Barking and Dagenham,E01000055,Household is not deprived in any dimension,218
E09000002,Barking and Dagenham,E01000055,Household is deprived in one dimension,214
E09000002,Barking and Dagenham,E01000055,Household is deprived in two dimensions,103
E09000002,Barking and Dagenham,E01000055,Household is deprived in three dimensions,32
E09000002,Barking and Dagenham,E01000055,Household is deprived in four dimensions,0
E09000002,Barking and Dagenham,E01000056,Household is not deprived in any dimension,188
E09000002,Barking and Dagenham,E01000056,Household is deprived in one dimension,219
E09000002,Barking and Dagenham,E01000056,Household is deprived in two dimensions,110
E09000002,Barking and Dagenham,E01000056,Household is deprived in three dimensions,47
E09000002,Barking and Dagenham,E01000056,Household is deprived in four dimensions,1
E09000002,Barking and Dagenham,E01000057,Household is not deprived in any dimension,171
E09000002,Barking and Dagenham,E01000057,Household is deprived in one dimension,208
E09000002,Barking and Dagenham,E01000057,Household is deprived in two dimensions,104
E09000002,Barking and Dagenham,E01000057,Household is deprived in three dimensions,39
E09000002,Barking and Dagenham,E01000057,Household is deprived in four dimensions,4
E09000002,Barking and Dagenham,E01000058,Household is not deprived in any dimension,239
E09000002,Barking and Dagenham,E01000058,Household is deprived in one dimension,258
E09000002,Barking and Dagenham,E01000058,Household is deprived in two dimensions,151
E09000002,Barking and Dagenham,E01000058,Household is deprived in three dimensions,49
E09000002,Barking and Dagenham,E01000058,Household is deprived in four dimensions,2
E09000002,Barking and Dagenham,E01000059,Household is not deprived in any dimension,196
E09000002,Barking and Dagenham,E01000059,Household is deprived in one dimension,233
E09000002,Barking and Dagenham,E01000059,Household is deprived in two dimensions,104
E09000002,Barking and Dagenham,E01000059,Household is deprived in three dimensions,36
E09000002,Barking and Dagenham,E01000059,Household is deprived in four dimensions,2
E09000002,Barking and Dagenham,E01000060,Household is not deprived in any dimension,291
E09000002,Barking and Dagenham,E01000060,Household is deprived in one dimension,306
E09000002,Barking and Dagenham,E01000060,Household is deprived in two dimensions,164
E09000002,Barking and Dagenham,E01000060,Household is deprived in three dimensions,51
E09000002,Barking and Dagenham,E01000060,Household is deprived in four dimensions,3
E09000002,Barking and Dagenham,E01000061,Household is not deprived in any dimension,249
E09000002,Barking and Dagenham,E01000061,Household is deprived in one dimension,248
E09000002,Barking and Dagenham,E01000061,Household is deprived in two dimensions,184
E09000002,Barking and Dagenham,E01000061,Household is deprived in three dimensions,67
E09000002,Barking and Dagenham,E01000061,Household is deprived in four dimensions,3
E09000002,Barking and Dagenham,E01000062,Household is not deprived in any dimension,292
E09000002,Barking and Dagenham,E01000062,Household is deprived in one dimension,299
E09000002,Barking and Dagenham,E01000062,Household is deprived in two dimensions,125
E09000002,Barking and Dagenham,E01000062,Household is deprived in three dimensions,45
E09000002,Barking and Dagenham,E01000062,Household is deprived in four dimensions,5
E09000002,Barking and Dagenham,E01000063,Household is not deprived in any dimension,244
E09000002,Barking and Dagenham,E01000063,Household is deprived in one dimension,224
E09000002,Barking and Dagenham,E01000063,Household is deprived in two dimensions,120
E09000002,Barking and Dagenham,E01000063,Household is deprived in three dimensions,34
E09000002,Barking and Dagenham,E01000063,Household is deprived in four dimensions,0
E09000002,Barking and Dagenham,E01000064,Household is not deprived in any dimension,323
E09000002,Barking and Dagenham,E01000064,Household is deprived in one dimension,273
E09000002,Barking and Dagenham,E01000064,Household is deprived in two dimensions,146
E09000002,Barking and Dagenham,E01000064,Household is deprived in three dimensions,50
E09000002,Barking and Dagenham,E01000064,Household is deprived in four dimensions,4
E09000002,Barking and Dagenham,E01000065,Household is not deprived in any dimension,241
E09000002,Barking and Dagenham,E01000065,Household is deprived in one dimension,282
E09000002,Barking and Dagenham,E01000065,Household is deprived in two dimensions,183
E09000002,Barking and Dagenham,E01000065,Household is deprived in three dimensions,67
E09000002,Barking and Dagenham,E01000065,Household is deprived in four dimensions,3
E09000002,Barking and Dagenham,E01000066,Household is not deprived in any dimension,274
E09000002,Barking and Dagenham,E01000066,Household is deprived in one dimension,250
E09000002,Barking and Dagenham,E01000066,Household is deprived in two dimensions,140
E09000002,Barking and Dagenham,E01000066,Household is deprived in three dimensions,38
E09000002,Barking and Dagenham,E01000066,Household is deprived in four dimensions,4
E09000002,Barking and Dagenham,E01000067,Household is not deprived in any dimension,270
E09000002,Barking and Dagenham,E01000067,Household is deprived in one dimension,232
E09000002,Barking and Dagenham,E01000067,Household is deprived in two dimensions,126
E09000002,Barking and Dagenham,E01000067,Household is deprived in three dimensions,27
E09000002,Barking and Dagenham,E01000067,Household is deprived in four dimensions,4
E09000002,Barking and Dagenham,E01000068,Household is not deprived in any dimension,191
E09000002,Barking and Dagenham,E01000068,Household is deprived in one dimension,186
E09000002,Barking and Dagenham,E01000068,Household is deprived in two dimensions,73
E09000002,Barking and Dagenham,E01000068,Household is deprived in three dimensions,25
E09000002,Barking and Dagenham,E01000068,Household is deprived in four dimensions,0
E09000002,Barking and Dagenham,E01000069,Household is not deprived in any dimension,232
E09000002,Barking and Dagenham,E01000069,Household is deprived in one dimension,207
E09000002,Barking and Dagenham,E01000069,Household is deprived in two dimensions,82
E09000002,Barking and Dagenham,E01000069,Household is deprived in three dimensions,16
E09000002,Barking and Dagenham,E01000069,Household is deprived in four dimensions,1
E09000002,Barking and Dagenham,E01000070,Household is not deprived in any dimension,244
E09000002,Barking and Dagenham,E01000070,Household is deprived in one dimension,195
E09000002,Barking and Dagenham,E01000070,Household is deprived in two dimensions,111
E09000002,Barking and Dagenham,E01000070,Household is deprived in three dimensions,25
E09000002,Barking and Dagenham,E01000070,Household is deprived in four dimensions,1
E09000002,Barking and Dagenham,E01000071,Household is not deprived in any dimension,373
E09000002,Barking and Dagenham,E01000071,Household is deprived in one dimension,258
E09000002,Barking and Dagenham,E01000071,Household is deprived in two dimensions,145
E09000002,Barking and Dagenham,E01000071,Household is deprived in three dimensions,29
E09000002,Barking and Dagenham,E01000071,Household is deprived in four dimensions,1
E09000002,Barking and Dagenham,E01000072,Household is not deprived in any dimension,242
E09000002,Barking and Dagenham,E01000072,Household is deprived in one dimension,284
E09000002,Barking and Dagenham,E01000072,Household is deprived in two dimensions,160
E09000002,Barking and Dagenham,E01000072,Household is deprived in three dimensions,55
E09000002,Barking and Dagenham,E01000072,Household is deprived in four dimensions,0
E09000002,Barking and Dagenham,E01000073,Household is not deprived in any dimension,279
E09000002,Barking and Dagenham,E01000073,Household is deprived in one dimension,241
E09000002,Barking and Dagenham,E01000073,Household is deprived in two dimensions,114
E09000002,Barking and Dagenham,E01000073,Household is deprived in three dimensions,37
E09000002,Barking and Dagenham,E01000073,Household is deprived in four dimensions,4
E09000002,Barking and Dagenham,E01000074,Household is not deprived in any dimension,215
E09000002,Barking and Dagenham,E01000074,Household is deprived in one dimension,221
E09000002,Barking and Dagenham,E01000074,Household is deprived in two dimensions,142
E09000002,Barking and Dagenham,E01000074,Household is deprived in three dimensions,45
E09000002,Barking and Dagenham,E01000074,Household is deprived in four dimensions,1
E09000002,Barking and Dagenham,E01000075,Household is not deprived in any dimension,231
E09000002,Barking and Dagenham,E01000075,Household is deprived in one dimension,226
E09000002,Barking and Dagenham,E01000075,Household is deprived in two dimensions,143
E09000002,Barking and Dagenham,E01000075,Household is deprived in three dimensions,38
E09000002,Barking and Dagenham,E01000075,Household is deprived in four dimensions,1
E09000002,Barking and Dagenham,E01000076,Household is not deprived in any dimension,212
E09000002,Barking and Dagenham,E01000076,Household is deprived in one dimension,315
E09000002,Barking and Dagenham,E01000076,Household is deprived in two dimensions,198
E09000002,Barking and Dagenham,E01000076,Household is deprived in three dimensions,64
E09000002,Barking and Dagenham,E01000076,Household is deprived in four dimensions,5
E09000002,Barking and Dagenham,E01000077,Household is not deprived in any dimension,199
E09000002,Barking and Dagenham,E01000077,Household is deprived in one dimension,230
E09000002,Barking and Dagenham,E01000077,Household is deprived in two dimensions,120
E09000002,Barking and Dagenham,E01000077,Household is deprived in three dimensions,45
E09000002,Barking and Dagenham,E01000077,Household is deprived in four dimensions,1
E09000002,Barking and Dagenham,E01000078,Household is not deprived in any dimension,193
E09000002,Barking and Dagenham,E01000078,Household is deprived in one dimension,218
E09000002,Barking and Dagenham,E01000078,Household is deprived in two dimensions,160
E09000002,Barking and Dagenham,E01000078,Household is deprived in three dimensions,42
E09000002,Barking and Dagenham,E01000078,Household is deprived in four dimensions,5
E09000002,Barking and Dagenham,E01000079,Household is not deprived in any dimension,215
E09000002,Barking and Dagenham,E01000079,Household is deprived in one dimension,236
E09000002,Barking and Dagenham,E01000079,Household is deprived in two dimensions,126
E09000002,Barking and Dagenham,E01000079,Household is deprived in three dimensions,38
E09000002,Barking and Dagenham,E01000079,Household is deprived in four dimensions,6
E09000002,Barking and Dagenham,E01000080,Household is not deprived in any dimension,206
E09000002,Barking and Dagenham,E01000080,Household is deprived in one dimension,222
E09000002,Barking and Dagenham,E01000080,Household is deprived in two dimensions,148
E09000002,Barking and Dagenham,E01000080,Household is deprived in three dimensions,32
E09000002,Barking and Dagenham,E01000080,Household is deprived in four dimensions,1
E09000002,Barking and Dagenham,E01000081,Household is not deprived in any dimension,228
E09000002,Barking and Dagenham,E01000081,Household is deprived in one dimension,243
E09000002,Barking and Dagenham,E01000081,Household is deprived in two dimensions,138
E09000002,Barking and Dagenham,E01000081,Household is deprived in three dimensions,38
E09000002,Barking and Dagenham,E01000081,Household is deprived in four dimensions,3
E09000002,Barking and Dagenham,E01000082,Household is not deprived in any dimension,264
E09000002,Barking and Dagenham,E01000082,Household is deprived in one dimension,279
E09000002,Barking and Dagenham,E01000082,Household is deprived in two dimensions,110
E09000002,Barking and Dagenham,E01000082,Household is deprived in three dimensions,43
