lad22cd,lad22nm,lsoa21cd,category,count_21
E09000002,Barking and Dagenham,E01000049,10 years or more,638
E09000002,Barking and Dagenham,E01000049,"5 years or more, but less than 10 years",122
E09000002,Barking and Dagenham,E01000049,"2 years or more, but less than 5 years",75
E09000002,Barking and Dagenham,E01000049,Less than 2 years,65
E09000002,Barking and Dagenham,E01000050,Born in the UK,855
E09000002,Barking and Dagenham,E01000050,10 years or more,557
E09000002,Barking and Dagenham,E01000050,"5 years or more, but less than 10 years",209
E09000002,Barking and Dagenham,E01000050,"2 years or more, but less than 5 years",141
E09000002,Barking and Dagenham,E01000050,Less than 2 years,77
E09000002,Barking and Dagenham,E01000051,Born in the UK,499
E09000002,Barking and Dagenham,E01000051,10 years or more,343
E09000002,Barking and Dagenham,E01000051,"5 years or more, but less than 10 years",125
E09000002,Barking and Dagenham,E01000051,"2 years or more, but less than 5 years",88
E09000002,Barking and Dagenham,E01000051,Less than 2 years,50
E09000002,Barking and Dagenham,E01000052,Born in the UK,1111
E09000002,Barking and Dagenham,E01000052,10 years or more,673
E09000002,Barking and Dagenham,E01000052,"5 years or more, but less than 10 years",244
E09000002,Barking and Dagenham,E01000052,"2 years or more, but less than 5 years",169
E09000002,Barking and Dagenham,E01000052,Less than 2 years,168
E09000002,Barking and Dagenham,E01000053,Born in the UK,987
E09000002,Barking and Dagenham,E01000053,10 years or more,371
E09000002,Barking and Dagenham,E01000053,"5 years or more, but less than 10 years",128
E09000002,Barking and Dagenham,E01000053,"2 years or more, but less than 5 years",83
E09000002,Barking and Dagenham,E01000053,Less than 2 years,47
E09000002,Barking and Dagenham,E01000054,Born in the UK,1223
E09000002,Barking and Dagenham,E01000054,10 years or more,408
E09000002,Barking and Dagenham,E01000054,"5 years or more, but less than 10 years",149
E09000002,Barking and Dagenham,E01000054,"2 years or more, but less than 5 years",55
E09000002,Barking and Dagenham,E01000054,Less than 2 years,33
E09000002,Barking and Dagenham,E01000055,Born in the UK,1083
E09000002,Barking and Dagenham,E01000055,10 years or more,422
