lad22cd,lad22nm,i.lad22nm,category,count_21
E09000018,Hounslow,Hounslow,In a registered civil partnership: Same sex,381
E09000018,Hounslow,Hounslow,"Separated, but still married",5443
E09000018,Hounslow,Hounslow,"Separated, but still in a registered civil partnership",55
E09000018,Hounslow,Hounslow,Divorced,16761
E09000018,Hounslow,Hounslow,Formerly in a civil partnership now legally dissolved,66
E09000018,Hounslow,Hounslow,Widowed,10208
E09000018,Hounslow,Hounslow,Surviving partner from civil partnership,23
E09000019,Islington,Islington,Never married and never registered a civil partnership,113933
E09000019,Islington,Islington,Married: Opposite sex,44957
E09000019,Islington,Islington,Married: Same sex,1263
E09000019,Islington,Islington,In a registered civil partnership: Opposite sex,372
E09000019,Islington,Islington,In a registered civil partnership: Same sex,798
E09000019,Islington,Islington,"Separated, but still married",4016
E09000019,Islington,Islington,"Separated, but still in a registered civil partnership",75
E09000019,Islington,Islington,Divorced,12696
E09000019,Islington,Islington,Formerly in a civil partnership now legally dissolved,137
E09000019,Islington,Islington,Widowed,5346
E09000019,Islington,Islington,Surviving partner from civil partnership,37
E09000020,Kensington and Chelsea,Kensington and Chelsea,Never married and never registered a civil partnership,60608
E09000020,Kensington and Chelsea,Kensington and Chelsea,Married: Opposite sex,42570
E09000020,Kensington and Chelsea,Kensington and Chelsea,Married: Same sex,610
E09000020,Kensington and Chelsea,Kensington and Chelsea,In a registered civil partnership: Opposite sex,185
E09000020,Kensington and Chelsea,Kensington and Chelsea,In a registered civil partnership: Same sex,480
E09000020,Kensington and Chelsea,Kensington and Chelsea,"Separated, but still married",2839
E09000020,Kensington and Chelsea,Kensington and Chelsea,"Separated, but still in a registered civil partnership",40
E09000020,Kensington and Chelsea,Kensington and Chelsea,Divorced,10896
E09000020,Kensington and Chelsea,Kensington and Chelsea,Formerly in a civil partnership now legally dissolved,46
E09000020,Kensington and Chelsea,Kensington and Chelsea,Widowed,4777
E09000020,Kensington and Chelsea,Kensington and Chelsea,Surviving partner from civil partnership,38
E09000021,Kingston upon Thames,Kingston upon Thames,Never married and never registered a civil partnership,53331
E09000021,Kingston upon Thames,Kingston upon Thames,Married: Opposite sex,62981
E09000021,Kingston upon Thames,Kingston upon Thames,Married: Same sex,383
E09000021,Kingston upon Thames,Kingston upon Thames,In a registered civil partnership: Opposite sex,145
E09000021,Kingston upon Thames,Kingston upon Thames,In a registered civil partnership: Same sex,248
E09000021,Kingston upon Thames,Kingston upon Thames,"Separated, but still married",2456
E09000021,Kingston upon Thames,Kingston upon Thames,"Separated, but still in a registered civil partnership",15
E09000021,Kingston upon Thames,Kingston upon Thames,Divorced,9751
E09000021,Kingston upon Thames,Kingston upon Thames,Formerly in a civil partnership now legally dissolved,24
E09000021,Kingston upon Thames,Kingston upon Thames,Widowed,6104
E09000021,Kingston upon Thames,Kingston upon Thames,Surviving partner from civil partnership,25
E09000022,Lambeth,Lambeth,Never married and never registered a civil partnership,167186
E09000022,Lambeth,Lambeth,Married: Opposite sex,65425
E09000022,Lambeth,Lambeth,Married: Same sex,1924
E09000022,Lambeth,Lambeth,In a registered civil partnership: Opposite sex,303
E09000022,Lambeth,Lambeth,In a registered civil partnership: Same sex,1274
E09000022,Lambeth,Lambeth,"Separated, but still married",6631
E09000022,Lambeth,Lambeth,"Separated, but still in a registered civil partnership",170
E09000022,Lambeth,Lambeth,Divorced,18524
E09000022,Lambeth,Lambeth,Formerly in a civil partnership now legally dissolved,260
E09000022,Lambeth,Lambeth,Widowed,7198
E09000022,Lambeth,Lambeth,Surviving partner from civil partnership,48
E09000023,Lewisham,Lewisham,Never married and never registered a civil partnership,129406
E09000023,Lewisham,Lewisham,Married: Opposite sex,76712
E09000023,Lewisham,Lewisham,Married: Same sex,1158
E09000023,Lewisham,Lewisham,In a registered civil partnership: Opposite sex,306
E09000023,Lewisham,Lewisham,In a registered civil partnership: Same sex,640
E09000023,Lewisham,Lewisham,"Separated, but still married",6544
E09000023,Lewisham,Lewisham,"Separated, but still in a registered civil partnership",82
E09000023,Lewisham,Lewisham,Divorced,19149
E09000023,Lewisham,Lewisham,Formerly in a civil partnership now legally dissolved,139
E09000023,Lewisham,Lewisham,Widowed,8234
E09000023,Lewisham,Lewisham,Surviving partner from civil partnership,40
E09000024,Merton,Merton,Never married and never registered a civil partnership,72293
E09000024,Merton,Merton,Married: Opposite sex,76252
E09000024,Merton,Merton,Married: Same sex,615
E09000024,Merton,Merton,In a registered civil partnership: Opposite sex,181
E09000024,Merton,Merton,In a registered civil partnership: Same sex,367
E09000024,Merton,Merton,"Separated, but still married",3443
E09000024,Merton,Merton,"Separated, but still in a registered civil partnership",23
E09000024,Merton,Merton,Divorced,12253
E09000024,Merton,Merton,Formerly in a civil partnership now legally dissolved,50
E09000024,Merton,Merton,Widowed,7273
