lad22cd,lad22nm,category,count_21
E09000010,Enfield,Arrived in the UK: Aged 16 to 17 years,6487
E09000010,Enfield,Arrived in the UK: Aged 18 to 19 years,8952
E09000010,Enfield,Arrived in the UK: Aged 20 to 24 years,25391
E09000010,Enfield,Arrived in the UK: Aged 25 to 29 years,21014
E09000010,Enfield,Arrived in the UK: Aged 30 to 44 years,27453
E09000010,Enfield,Arrived in the UK: Aged 45 to 59 years,6320
E09000010,Enfield,Arrived in the UK: Aged 60 to 64 years,791
E09000010,Enfield,Arrived in the UK: Aged 65 to 74 years,754
E09000010,Enfield,Arrived in the UK: Aged 75 to 84 years,224
E09000010,Enfield,Arrived in the UK: Aged 85 to 89 years,34
E09000010,Enfield,Arrived in the UK: Aged 90 years and over,7
E09000011,Greenwich,Born in the UK,180578
E09000011,Greenwich,Arrived in the UK: Aged 0 to 4 years,8763
E09000011,Greenwich,Arrived in the UK: Aged 5 to 7 years,3839
E09000011,Greenwich,Arrived in the UK: Aged 8 to 9 years,2361
E09000011,Greenwich,Arrived in the UK: Aged 10 to 14 years,6322
E09000011,Greenwich,Arrived in the UK: Aged 15 years,1590
E09000011,Greenwich,Arrived in the UK: Aged 16 to 17 years,4247
E09000011,Greenwich,Arrived in the UK: Aged 18 to 19 years,6842
E09000011,Greenwich,Arrived in the UK: Aged 20 to 24 years,20040
E09000011,Greenwich,Arrived in the UK: Aged 25 to 29 years,21392
E09000011,Greenwich,Arrived in the UK: Aged 30 to 44 years,25817
E09000011,Greenwich,Arrived in the UK: Aged 45 to 59 years,5378
E09000011,Greenwich,Arrived in the UK: Aged 60 to 64 years,771
E09000011,Greenwich,Arrived in the UK: Aged 65 to 74 years,911
E09000011,Greenwich,Arrived in the UK: Aged 75 to 84 years,194
E09000011,Greenwich,Arrived in the UK: Aged 85 to 89 years,17
E09000011,Greenwich,Arrived in the UK: Aged 90 years and over,6
E09000012,Hackney,Born in the UK,156219
E09000012,Hackney,Arrived in the UK: Aged 0 to 4 years,7771
E09000012,Hackney,Arrived in the UK: Aged 5 to 7 years,3395
E09000012,Hackney,Arrived in the UK: Aged 8 to 9 years,2230
E09000012,Hackney,Arrived in the UK: Aged 10 to 14 years,5665
E09000012,Hackney,Arrived in the UK: Aged 15 years,1402
E09000012,Hackney,Arrived in the UK: Aged 16 to 17 years,4182
E09000012,Hackney,Arrived in the UK: Aged 18 to 19 years,7103
E09000012,Hackney,Arrived in the UK: Aged 20 to 24 years,22808
E09000012,Hackney,Arrived in the UK: Aged 25 to 29 years,22258
E09000012,Hackney,Arrived in the UK: Aged 30 to 44 years,21243
E09000012,Hackney,Arrived in the UK: Aged 45 to 59 years,3837
E09000012,Hackney,Arrived in the UK: Aged 60 to 64 years,424
E09000012,Hackney,Arrived in the UK: Aged 65 to 74 years,453
E09000012,Hackney,Arrived in the UK: Aged 75 to 84 years,127
E09000012,Hackney,Arrived in the UK: Aged 85 to 89 years,21
E09000012,Hackney,Arrived in the UK: Aged 90 years and over,7
E09000013,Hammersmith and Fulham,Born in the UK,99818
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 0 to 4 years,6568
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 5 to 7 years,2593
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 8 to 9 years,1617
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 10 to 14 years,3947
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 15 years,1096
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 16 to 17 years,3187
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 18 to 19 years,5141
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 20 to 24 years,17402
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 25 to 29 years,17552
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 30 to 44 years,19073
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 45 to 59 years,4088
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 60 to 64 years,439
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 65 to 74 years,462
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 75 to 84 years,147
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 85 to 89 years,19
E09000013,Hammersmith and Fulham,Arrived in the UK: Aged 90 years and over,9
E09000014,Haringey,Born in the UK,143117
E09000014,Haringey,Arrived in the UK: Aged 0 to 4 years,9006
E09000014,Haringey,Arrived in the UK: Aged 5 to 7 years,4218
E09000014,Haringey,Arrived in the UK: Aged 8 to 9 years,2663
E09000014,Haringey,Arrived in the UK: Aged 10 to 14 years,6979
E09000014,Haringey,Arrived in the UK: Aged 15 years,1745
E09000014,Haringey,Arrived in the UK: Aged 16 to 17 years,4780
E09000014,Haringey,Arrived in the UK: Aged 18 to 19 years,8016
E09000014,Haringey,Arrived in the UK: Aged 20 to 24 years,24634
E09000014,Haringey,Arrived in the UK: Aged 25 to 29 years,23045
E09000014,Haringey,Arrived in the UK: Aged 30 to 44 years,27958
E09000014,Haringey,Arrived in the UK: Aged 45 to 59 years,6644
E09000014,Haringey,Arrived in the UK: Aged 60 to 64 years,625
E09000014,Haringey,Arrived in the UK: Aged 65 to 74 years,613
E09000014,Haringey,Arrived in the UK: Aged 75 to 84 years,177
E09000014,Haringey,Arrived in the UK: Aged 85 to 89 years,14
E09000014,Haringey,Arrived in the UK: Aged 90 years and over,4
E09000015,Harrow,Born in the UK,127612
E09000015,Harrow,Arrived in the UK: Aged 0 to 4 years,11108
E09000015,Harrow,Arrived in the UK: Aged 5 to 7 years,5835
E09000015,Harrow,Arrived in the UK: Aged 8 to 9 years,3895
E09000015,Harrow,Arrived in the UK: Aged 10 to 14 years,9656
E09000015,Harrow,Arrived in the UK: Aged 15 years,2212
E09000015,Harrow,Arrived in the UK: Aged 16 to 17 years,5929
