lad22cd,lad22nm,lsoa21cd,"Asian, Asian British or Asian Welsh: Bangladeshi","Asian, Asian British or Asian Welsh: Chinese","Asian, Asian British or Asian Welsh: Indian","Asian, Asian British or Asian Welsh: Other Asian","Asian, Asian British or Asian Welsh: Pakistani","Black, Black British, Black Welsh, Caribbean or African: African","Black, Black British, Black Welsh, Caribbean or African: Caribbean","Black, Black British, Black Welsh, Caribbean or African: Other Black",Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Mixed or Multiple ethnic groups: White and Asian,Mixed or Multiple ethnic groups: White and Black African,Mixed or Multiple ethnic groups: White and Black Caribbean,Other ethnic group: Any other ethnic group,Other ethnic group: Arab,"White: English, Welsh, Scottish, Northern Irish or British",White: Gypsy or Irish Traveller,White: Irish,White: Other White
E09000008,Croydon,E01001180,8,25,240,271,116,178,204,77,28,33,12,46,30,14,301,1,7,146
E09000008,Croydon,E01001181,34,15,200,142,116,256,224,106,37,18,24,76,61,5,376,5,6,128
E09000008,Croydon,E01001182,11,10,269,100,157,157,199,63,19,10,17,28,22,0,230,0,19,111
E09000008,Croydon,E01001183,31,12,337,145,134,173,215,122,23,24,9,60,32,17,180,0,12,46
E09000008,Croydon,E01001184,11,14,227,101,150,103,285,72,18,26,8,22,20,9,188,0,15,80
E09000008,Croydon,E01001185,8,14,39,64,19,120,166,76,30,28,26,59,18,11,797,0,47,114
E09000008,Croydon,E01001186,3,19,63,46,30,215,288,147,38,28,22,59,26,9,630,0,33,89
E09000008,Croydon,E01001187,8,24,80,73,56,189,236,81,48,35,26,93,25,10,788,1,29,143
E09000008,Croydon,E01001188,23,14,80,50,18,243,362,99,32,23,23,88,19,3,621,0,32,103
E09000008,Croydon,E01001189,9,15,58,50,10,109,196,57,18,30,15,47,11,7,499,0,27,53
E09000008,Croydon,E01001190,1,18,39,53,22,301,432,154,39,29,20,119,25,6,682,0,32,104
E09000008,Croydon,E01001191,15,13,62,46,20,247,313,156,48,20,34,74,45,22,505,1,26,117
E09000008,Croydon,E01001192,0,7,33,28,10,131,210,68,16,13,16,72,6,1,466,0,21,56
E09000008,Croydon,E01001193,33,16,51,57,82,228,261,142,53,38,24,122,11,8,620,0,16,45
E09000008,Croydon,E01001194,1,21,28,42,11,131,273,103,24,21,13,67,14,8,688,8,25,94
E09000009,Ealing,E01001195,4,49,70,288,29,60,31,42,22,29,12,2,87,222,498,3,69,316
E09000009,Ealing,E01001196,11,29,63,103,40,116,165,54,37,38,18,46,76,87,457,14,76,336
