lad22cd,lad22nm,lsoa21cd,All household members have the same ethnic group,Any other combination of multiple ethnic identities,Ethnic groups differ between generations but not within partnerships,Ethnic groups differ within partnerships,One-person household
E09000023,Lewisham,E01003240,370,24,75,57,199
E09000023,Lewisham,E01003241,268,20,41,61,305
E09000023,Lewisham,E01003243,274,17,39,37,214
E09000023,Lewisham,E01003244,254,30,86,40,208
E09000023,Lewisham,E01003245,258,41,86,42,157
E09000023,Lewisham,E01003246,251,31,57,41,179
E09000023,Lewisham,E01003247,269,95,25,59,237
E09000023,Lewisham,E01003248,277,44,57,53,287
E09000023,Lewisham,E01003249,342,59,54,74,368
E09000023,Lewisham,E01003251,334,83,82,58,220
E09000023,Lewisham,E01003252,280,23,84,26,200
E09000023,Lewisham,E01003253,241,50,64,45,269
E09000023,Lewisham,E01003254,267,33,26,96,180
E09000023,Lewisham,E01003255,281,72,46,142,423
E09000023,Lewisham,E01003256,349,77,75,93,337
E09000023,Lewisham,E01003257,278,35,65,71,286
E09000023,Lewisham,E01003258,269,23,53,54,195
E09000023,Lewisham,E01003259,290,25,67,104,270
E09000023,Lewisham,E01003260,305,31,95,96,154
E09000023,Lewisham,E01003261,286,33,41,78,181
E09000023,Lewisham,E01003262,249,27,47,81,220
E09000023,Lewisham,E01003263,311,32,61,53,282
E09000023,Lewisham,E01003264,320,25,33,66,284
E09000023,Lewisham,E01003265,297,29,69,52,233
E09000023,Lewisham,E01003266,390,22,55,66,330
E09000023,Lewisham,E01003267,266,12,42,34,138
E09000023,Lewisham,E01003268,288,44,39,94,253
E09000023,Lewisham,E01003269,319,19,51,66,192
E09000023,Lewisham,E01003270,315,33,36,80,214
E09000023,Lewisham,E01003271,393,30,34,63,117
E09000023,Lewisham,E01003272,298,101,56,98,245
E09000023,Lewisham,E01003273,263,138,48,64,153
E09000023,Lewisham,E01003274,276,65,52,96,232
E09000023,Lewisham,E01003275,276,35,60,58,211
E09000023,Lewisham,E01003276,298,38,74,130,160
E09000023,Lewisham,E01003277,276,79,57,89,277
E09000023,Lewisham,E01003278,301,98,38,84,284
