lad22cd,lad22nm,lsoa21cd,"All adults in household have English in England, or English or Welsh in Wales as a main language","At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language","No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language","No people in household have English in England, or English or Welsh in Wales as a main language"
E09000003,Barnet,E01000214,391,61,12,110
E09000003,Barnet,E01000215,486,87,6,101
E09000003,Barnet,E01000216,456,97,17,114
E09000003,Barnet,E01000217,367,71,7,76
E09000003,Barnet,E01000218,374,92,10,97
E09000003,Barnet,E01000219,342,110,11,118
E09000003,Barnet,E01000220,352,107,14,120
E09000003,Barnet,E01000221,298,70,34,83
E09000003,Barnet,E01000222,257,101,25,123
E09000003,Barnet,E01000223,309,54,29,86
E09000003,Barnet,E01000224,269,103,26,126
E09000003,Barnet,E01000225,430,55,8,36
E09000003,Barnet,E01000226,418,72,34,106
E09000003,Barnet,E01000227,457,65,11,70
E09000003,Barnet,E01000228,371,50,20,34
E09000003,Barnet,E01000229,465,53,21,61
E09000003,Barnet,E01000230,530,61,8,51
E09000003,Barnet,E01000231,459,75,32,88
E09000003,Barnet,E01000232,527,77,11,91
E09000003,Barnet,E01000233,469,78,20,68
E09000003,Barnet,E01000234,491,73,8,78
E09000003,Barnet,E01000235,419,66,21,76
E09000003,Barnet,E01000236,515,60,9,90
E09000003,Barnet,E01000237,469,94,13,164
E09000003,Barnet,E01000238,386,90,22,117
E09000003,Barnet,E01000239,499,103,24,251
E09000003,Barnet,E01000240,355,97,10,120
E09000003,Barnet,E01000241,460,98,15,123
E09000003,Barnet,E01000242,451,76,6,64
E09000003,Barnet,E01000243,497,109,13,172
E09000003,Barnet,E01000244,354,94,9,125
E09000003,Barnet,E01000245,465,124,33,189
E09000003,Barnet,E01000246,579,34,7,34
E09000003,Barnet,E01000247,634,46,12,54
E09000003,Barnet,E01000248,595,43,8,20
E09000003,Barnet,E01000249,509,36,6,21
E09000003,Barnet,E01000250,794,75,20,90
E09000003,Barnet,E01000251,783,59,12,93
E09000003,Barnet,E01000252,637,50,7,59
E09000003,Barnet,E01000253,520,47,6,24
E09000003,Barnet,E01000254,577,28,3,14
E09000003,Barnet,E01000255,400,65,14,48
E09000003,Barnet,E01000256,532,56,18,50
E09000003,Barnet,E01000257,468,104,38,114
E09000003,Barnet,E01000258,568,63,18,47
E09000003,Barnet,E01000259,710,129,28,113
E09000003,Barnet,E01000260,539,87,31,104
E09000003,Barnet,E01000261,576,38,4,28
E09000003,Barnet,E01000263,428,54,6,11
E09000003,Barnet,E01000264,435,76,15,108
E09000003,Barnet,E01000265,571,88,33,99
E09000003,Barnet,E01000266,416,58,7,30
E09000003,Barnet,E01000267,470,48,9,40
E09000003,Barnet,E01000268,587,66,20,72
E09000003,Barnet,E01000269,462,33,15,25
E09000003,Barnet,E01000270,532,39,12,43
E09000003,Barnet,E01000271,476,55,7,44
E09000003,Barnet,E01000272,395,41,8,24
E09000003,Barnet,E01000273,500,64,14,70
E09000003,Barnet,E01000274,527,64,24,84
E09000003,Barnet,E01000275,447,80,15,102
E09000003,Barnet,E01000276,368,60,7,71
E09000003,Barnet,E01000277,484,74,25,194
E09000003,Barnet,E01000278,345,64,10,79
E09000003,Barnet,E01000279,441,43,7,22
E09000003,Barnet,E01000280,394,63,5,35
E09000003,Barnet,E01000281,346,46,14,74
E09000003,Barnet,E01000282,471,78,14,76
E09000003,Barnet,E01000283,387,48,9,36
E09000003,Barnet,E01000284,563,83,24,110
E09000003,Barnet,E01000285,515,47,8,40
E09000003,Barnet,E01000286,555,39,12,48
E09000003,Barnet,E01000287,539,37,12,34
E09000003,Barnet,E01000288,468,55,13,32
E09000003,Barnet,E01000289,445,72,47,67
E09000003,Barnet,E01000290,605,44,4,21
E09000003,Barnet,E01000291,444,57,34,67
E09000003,Barnet,E01000292,548,31,8,42
E09000003,Barnet,E01000293,530,60,12,40
E09000003,Barnet,E01000294,577,43,8,44
E09000003,Barnet,E01000295,436,111,10,129
E09000003,Barnet,E01000296,450,112,19,153
E09000003,Barnet,E01000297,367,90,22,75
E09000003,Barnet,E01000298,463,102,23,145
E09000003,Barnet,E01000299,460,108,14,200
E09000003,Barnet,E01000300,483,84,11,89
E09000003,Barnet,E01000301,348,78,9,93
E09000003,Barnet,E01000302,544,79,14,203
E09000003,Barnet,E01000303,351,81,20,88
E09000003,Barnet,E01000304,407,110,11,93
E09000003,Barnet,E01000305,334,95,25,183
E09000003,Barnet,E01000306,220,140,22,176
E09000003,Barnet,E01000307,289,110,20,111
E09000003,Barnet,E01000308,454,55,27,133
E09000003,Barnet,E01000309,349,111,22,137
E09000003,Barnet,E01000310,331,150,14,206
E09000003,Barnet,E01000311,358,50,3,59
E09000003,Barnet,E01000312,410,88,28,184
E09000003,Barnet,E01000313,342,114,23,193
E09000003,Barnet,E01000314,365,119,17,157
E09000003,Barnet,E01000315,435,66,29,84
E09000003,Barnet,E01000316,540,150,34,150
E09000003,Barnet,E01000317,431,96,17,113
E09000003,Barnet,E01000318,366,125,11,108
E09000003,Barnet,E01000319,381,67,11,70
E09000003,Barnet,E01000320,479,68,15,66
E09000003,Barnet,E01000321,470,86,18,126
E09000003,Barnet,E01000322,545,81,25,123
E09000003,Barnet,E01000323,538,100,27,200
E09000003,Barnet,E01000324,485,82,10,78
E09000004,Bexley,E01000325,561,16,1,5
E09000004,Bexley,E01000326,525,7,2,10
E09000004,Bexley,E01000327,577,16,2,9
E09000004,Bexley,E01000328,576,7,5,8
E09000004,Bexley,E01000329,498,12,2,5
E09000004,Bexley,E01000330,738,15,5,14
E09000004,Bexley,E01000331,584,21,6,6
E09000004,Bexley,E01000332,565,30,2,14
E09000004,Bexley,E01000333,743,23,6,21
E09000004,Bexley,E01000334,586,34,5,15
E09000004,Bexley,E01000335,525,44,18,51
E09000004,Bexley,E01000336,658,59,16,60
E09000004,Bexley,E01000337,592,30,8,33
E09000004,Bexley,E01000338,590,41,9,53
E09000004,Bexley,E01000339,585,10,6,1
E09000004,Bexley,E01000340,477,9,1,3
E09000004,Bexley,E01000341,593,12,1,4
E09000004,Bexley,E01000342,747,13,4,9
E09000004,Bexley,E01000343,513,16,6,15
E09000004,Bexley,E01000344,623,8,5,10
E09000004,Bexley,E01000345,463,14,4,6
E09000004,Bexley,E01000346,598,15,1,11
E09000004,Bexley,E01000347,581,19,2,16
E09000004,Bexley,E01000348,503,12,2,6
E09000004,Bexley,E01000349,619,19,3,9
E09000004,Bexley,E01000350,497,10,1,13
E09000004,Bexley,E01000351,597,13,1,5
E09000004,Bexley,E01000352,644,17,4,11
E09000004,Bexley,E01000353,634,22,1,5
E09000004,Bexley,E01000354,595,17,5,6
E09000004,Bexley,E01000355,590,13,1,9
E09000004,Bexley,E01000356,584,21,3,20
E09000004,Bexley,E01000357,458,18,2,10
E09000004,Bexley,E01000358,623,22,3,11
E09000004,Bexley,E01000359,460,16,5,7
E09000004,Bexley,E01000360,604,27,5,26
E09000004,Bexley,E01000361,569,17,5,11
E09000004,Bexley,E01000362,604,13,4,5
E09000004,Bexley,E01000363,531,18,4,12
E09000004,Bexley,E01000364,611,21,6,13
E09000004,Bexley,E01000365,650,28,5,17
E09000004,Bexley,E01000366,609,23,6,17
E09000004,Bexley,E01000367,569,24,4,8
E09000004,Bexley,E01000368,593,18,4,17
E09000004,Bexley,E01000369,598,23,2,3
E09000004,Bexley,E01000370,621,12,5,11
E09000004,Bexley,E01000371,612,16,0,6
E09000004,Bexley,E01000372,536,30,8,19
E09000004,Bexley,E01000373,623,20,19,26
E09000004,Bexley,E01000374,494,19,9,12
E09000004,Bexley,E01000375,537,14,5,9
E09000004,Bexley,E01000376,579,14,5,8
E09000004,Bexley,E01000377,621,15,4,9
E09000004,Bexley,E01000379,634,18,7,4
E09000004,Bexley,E01000380,728,10,2,18
E09000004,Bexley,E01000381,620,25,3,12
E09000004,Bexley,E01000382,550,20,5,12
E09000004,Bexley,E01000383,609,8,2,14
E09000004,Bexley,E01000384,742,25,2,11
E09000004,Bexley,E01000385,720,26,5,19
E09000004,Bexley,E01000386,595,20,13,31
E09000004,Bexley,E01000387,587,21,0,10
E09000004,Bexley,E01000388,578,33,3,7
E09000004,Bexley,E01000389,666,24,3,21
E09000004,Bexley,E01000390,474,25,3,13
E09000004,Bexley,E01000391,609,19,2,14
E09000004,Bexley,E01000392,601,44,10,40
E09000004,Bexley,E01000393,589,28,5,18
E09000004,Bexley,E01000394,577,20,4,23
E09000004,Bexley,E01000395,465,15,2,17
E09000004,Bexley,E01000396,465,27,5,10
E09000004,Bexley,E01000398,562,23,4,22
E09000004,Bexley,E01000399,579,24,3,13
E09000004,Bexley,E01000400,528,33,2,27
E09000004,Bexley,E01000401,578,32,4,23
E09000004,Bexley,E01000402,612,26,3,19
E09000004,Bexley,E01000403,903,38,11,38
E09000004,Bexley,E01000404,798,59,21,81
E09000004,Bexley,E01000405,464,24,9,25
E09000004,Bexley,E01000406,500,41,9,44
E09000004,Bexley,E01000407,583,29,5,13
E09000004,Bexley,E01000408,451,56,8,55
E09000004,Bexley,E01000409,614,22,3,10
E09000004,Bexley,E01000410,561,21,3,9
E09000004,Bexley,E01000411,512,21,8,10
E09000004,Bexley,E01000412,586,31,2,13
E09000004,Bexley,E01000413,479,14,4,8
E09000004,Bexley,E01000414,576,41,9,48
E09000004,Bexley,E01000415,469,31,4,8
E09000004,Bexley,E01000416,408,48,16,45
E09000004,Bexley,E01000417,658,23,8,24
E09000004,Bexley,E01000418,606,64,20,64
E09000004,Bexley,E01000419,552,22,5,15
E09000004,Bexley,E01000420,572,25,0,7
E09000004,Bexley,E01000421,569,19,4,11
E09000004,Bexley,E01000422,532,65,28,56
E09000004,Bexley,E01000423,576,19,1,13
E09000004,Bexley,E01000424,736,15,2,12
E09000004,Bexley,E01000425,560,20,2,8
E09000004,Bexley,E01000426,676,22,4,10
E09000004,Bexley,E01000427,888,17,0,17
E09000004,Bexley,E01000428,814,30,2,36
E09000004,Bexley,E01000429,646,25,7,41
E09000004,Bexley,E01000430,616,37,11,14
E09000004,Bexley,E01000431,600,30,17,34
E09000004,Bexley,E01000433,667,24,13,16
E09000004,Bexley,E01000434,558,19,4,15
E09000004,Bexley,E01000435,563,20,6,8
E09000004,Bexley,E01000436,585,17,4,9
E09000004,Bexley,E01000437,478,13,0,7
E09000004,Bexley,E01000438,549,34,6,10
E09000004,Bexley,E01000439,466,17,3,10
E09000004,Bexley,E01000440,471,30,3,13
E09000004,Bexley,E01000441,634,16,6,16
E09000004,Bexley,E01000442,591,22,2,11
E09000004,Bexley,E01000443,495,9,0,6
E09000004,Bexley,E01000444,593,22,1,10
E09000004,Bexley,E01000445,655,21,1,10
E09000004,Bexley,E01000446,580,16,0,6
E09000004,Bexley,E01000447,679,18,5,11
E09000004,Bexley,E01000448,500,3,0,1
E09000004,Bexley,E01000449,630,13,2,3
E09000004,Bexley,E01000450,597,26,8,14
E09000004,Bexley,E01000451,583,21,5,12
E09000004,Bexley,E01000452,454,32,3,6
E09000004,Bexley,E01000453,479,19,6,9
E09000004,Bexley,E01000454,584,19,3,22
E09000004,Bexley,E01000455,551,29,7,18
E09000004,Bexley,E01000456,453,15,5,14
E09000004,Bexley,E01000457,765,32,3,25
E09000004,Bexley,E01000458,601,19,3,8
E09000004,Bexley,E01000459,739,20,2,20
E09000004,Bexley,E01000460,468,22,1,7
E09000004,Bexley,E01000461,546,17,1,5
E09000004,Bexley,E01000462,680,28,3,27
E09000004,Bexley,E01000463,430,13,1,8
E09000004,Bexley,E01000464,455,52,6,33
E09000004,Bexley,E01000465,623,41,11,32
E09000004,Bexley,E01000466,507,37,12,46
E09000004,Bexley,E01000467,484,42,11,54
E09000004,Bexley,E01000468,688,83,45,74
E09000004,Bexley,E01000469,534,49,14,48
E09000004,Bexley,E01000470,481,39,11,59
E09000005,Brent,E01000471,216,98,31,124
E09000005,Brent,E01000472,212,78,33,189
E09000005,Brent,E01000473,128,95,13,145
E09000005,Brent,E01000474,188,141,35,137
E09000005,Brent,E01000475,254,105,32,205
E09000005,Brent,E01000476,187,130,18,120
E09000005,Brent,E01000477,277,105,52,222
E09000005,Brent,E01000478,213,135,37,201
E09000005,Brent,E01000479,297,95,12,106
E09000005,Brent,E01000480,298,117,20,100
E09000005,Brent,E01000481,344,91,25,150
E09000005,Brent,E01000483,349,95,41,158
E09000005,Brent,E01000484,279,56,21,67
E09000005,Brent,E01000485,283,72,12,121
E09000005,Brent,E01000486,345,135,22,153
E09000005,Brent,E01000487,300,89,15,147
E09000005,Brent,E01000488,288,103,21,121
E09000005,Brent,E01000489,405,106,13,69
E09000005,Brent,E01000490,559,80,16,132
E09000005,Brent,E01000491,528,111,22,145
E09000005,Brent,E01000492,302,89,7,69
E09000005,Brent,E01000493,390,102,10,76
E09000005,Brent,E01000494,478,117,12,117
E09000005,Brent,E01000495,612,85,15,138
E09000005,Brent,E01000497,344,100,22,120
E09000005,Brent,E01000498,210,105,29,113
E09000005,Brent,E01000499,251,108,26,115
E09000005,Brent,E01000501,448,87,39,160
E09000005,Brent,E01000502,249,81,23,100
E09000005,Brent,E01000503,445,105,27,144
E09000005,Brent,E01000504,418,108,16,134
E09000005,Brent,E01000505,314,106,14,91
E09000005,Brent,E01000506,321,103,43,190
E09000005,Brent,E01000507,269,128,17,94
E09000005,Brent,E01000508,408,98,53,157
E09000005,Brent,E01000509,180,113,19,118
E09000005,Brent,E01000510,234,97,27,175
E09000005,Brent,E01000511,290,78,31,144
E09000005,Brent,E01000512,349,112,17,132
E09000005,Brent,E01000513,248,93,29,101
E09000005,Brent,E01000514,277,85,22,111
E09000005,Brent,E01000515,357,80,39,152
E09000005,Brent,E01000516,244,111,23,139
