lad22cd,lad22nm,category,count_21,count_11,change
E09000015,Harrow,Arrived in the UK: Aged 20 to 24 years,25254,21660,3594
E09000015,Harrow,Arrived in the UK: Aged 25 to 29 years,22438,17178,5260
E09000015,Harrow,Arrived in the UK: Aged 30 to 44 years,28801,19535,9266
E09000015,Harrow,Arrived in the UK: Aged 45 to 59 years,6810,4914,1896
E09000015,Harrow,Arrived in the UK: Aged 5 to 7 years,5835,4876,959
E09000015,Harrow,Arrived in the UK: Aged 60 to 64 years,1001,851,150
E09000015,Harrow,Arrived in the UK: Aged 65 to 74 years,1173,920,253
E09000015,Harrow,Arrived in the UK: Aged 75 to 84 years,371,230,141
E09000015,Harrow,Arrived in the UK: Aged 8 to 9 years,3895,3285,610
E09000015,Harrow,Arrived in the UK: Aged 85 to 89 years,46,25,21
E09000015,Harrow,Arrived in the UK: Aged 90 years and over,10,5,5
E09000015,Harrow,Born in the UK,127612,132007,-4395
E09000016,Havering,Arrived in the UK: Aged 0 to 4 years,4801,2845,1956
E09000016,Havering,Arrived in the UK: Aged 10 to 14 years,3226,1822,1404
E09000016,Havering,Arrived in the UK: Aged 15 years,798,458,340
E09000016,Havering,Arrived in the UK: Aged 16 to 17 years,1980,1165,815
E09000016,Havering,Arrived in the UK: Aged 18 to 19 years,3416,1785,1631
E09000016,Havering,Arrived in the UK: Aged 20 to 24 years,10589,5005,5584
E09000016,Havering,Arrived in the UK: Aged 25 to 29 years,9544,4141,5403
E09000016,Havering,Arrived in the UK: Aged 30 to 44 years,10100,4167,5933
E09000016,Havering,Arrived in the UK: Aged 45 to 59 years,2286,795,1491
E09000016,Havering,Arrived in the UK: Aged 5 to 7 years,2097,1176,921
E09000016,Havering,Arrived in the UK: Aged 60 to 64 years,325,106,219
E09000016,Havering,Arrived in the UK: Aged 65 to 74 years,271,107,164
E09000016,Havering,Arrived in the UK: Aged 75 to 84 years,92,24,68
E09000016,Havering,Arrived in the UK: Aged 8 to 9 years,1351,790,561
E09000016,Havering,Arrived in the UK: Aged 85 to 89 years,6,4,2
E09000016,Havering,Arrived in the UK: Aged 90 years and over,1,2,-1
E09000016,Havering,Born in the UK,211166,212840,-1674
E09000017,Hillingdon,Arrived in the UK: Aged 0 to 4 years,10385,7935,2450
E09000017,Hillingdon,Arrived in the UK: Aged 10 to 14 years,7926,6360,1566
E09000017,Hillingdon,Arrived in the UK: Aged 15 years,1968,1693,275
E09000017,Hillingdon,Arrived in the UK: Aged 16 to 17 years,5177,4407,770
E09000017,Hillingdon,Arrived in the UK: Aged 18 to 19 years,7573,6145,1428
E09000017,Hillingdon,Arrived in the UK: Aged 20 to 24 years,23086,17655,5431
E09000017,Hillingdon,Arrived in the UK: Aged 25 to 29 years,20613,14100,6513
E09000017,Hillingdon,Arrived in the UK: Aged 30 to 44 years,24737,13860,10877
E09000017,Hillingdon,Arrived in the UK: Aged 45 to 59 years,6135,2888,3247
E09000017,Hillingdon,Arrived in the UK: Aged 5 to 7 years,4970,3560,1410
E09000017,Hillingdon,Arrived in the UK: Aged 60 to 64 years,778,433,345
E09000017,Hillingdon,Arrived in the UK: Aged 65 to 74 years,922,562,360
E09000017,Hillingdon,Arrived in the UK: Aged 75 to 84 years,221,117,104
E09000017,Hillingdon,Arrived in the UK: Aged 8 to 9 years,3119,2348,771
E09000017,Hillingdon,Arrived in the UK: Aged 85 to 89 years,29,9,20
E09000017,Hillingdon,Arrived in the UK: Aged 90 years and over,5,5,0
E09000017,Hillingdon,Born in the UK,188260,191859,-3599
E09000018,Hounslow,Arrived in the UK: Aged 0 to 4 years,11398,9352,2046
E09000018,Hounslow,Arrived in the UK: Aged 10 to 14 years,8478,7057,1421
E09000018,Hounslow,Arrived in the UK: Aged 15 years,1976,1702,274
E09000018,Hounslow,Arrived in the UK: Aged 16 to 17 years,5130,4503,627
E09000018,Hounslow,Arrived in the UK: Aged 18 to 19 years,7673,6949,724
E09000018,Hounslow,Arrived in the UK: Aged 20 to 24 years,27221,25299,1922
E09000018,Hounslow,Arrived in the UK: Aged 25 to 29 years,26223,21602,4621
E09000018,Hounslow,Arrived in the UK: Aged 30 to 44 years,34220,20863,13357
E09000018,Hounslow,Arrived in the UK: Aged 45 to 59 years,8670,4331,4339
E09000018,Hounslow,Arrived in the UK: Aged 5 to 7 years,5356,4161,1195
E09000018,Hounslow,Arrived in the UK: Aged 60 to 64 years,1106,585,521
E09000018,Hounslow,Arrived in the UK: Aged 65 to 74 years,1218,652,566
E09000018,Hounslow,Arrived in the UK: Aged 75 to 84 years,302,156,146
E09000018,Hounslow,Arrived in the UK: Aged 8 to 9 years,3607,2682,925
E09000018,Hounslow,Arrived in the UK: Aged 85 to 89 years,39,18,21
E09000018,Hounslow,Arrived in the UK: Aged 90 years and over,6,1,5
E09000018,Hounslow,Born in the UK,145556,144044,1512
E09000019,Islington,Arrived in the UK: Aged 0 to 4 years,5992,5808,184
E09000019,Islington,Arrived in the UK: Aged 10 to 14 years,4041,4181,-140
E09000019,Islington,Arrived in the UK: Aged 15 years,1105,1128,-23
E09000019,Islington,Arrived in the UK: Aged 16 to 17 years,4018,3727,291
E09000019,Islington,Arrived in the UK: Aged 18 to 19 years,6344,5708,636
E09000019,Islington,Arrived in the UK: Aged 20 to 24 years,19507,17333,2174
E09000019,Islington,Arrived in the UK: Aged 25 to 29 years,20466,15880,4586
E09000019,Islington,Arrived in the UK: Aged 30 to 44 years,17465,12698,4767
E09000019,Islington,Arrived in the UK: Aged 45 to 59 years,2654,1897,757
E09000019,Islington,Arrived in the UK: Aged 5 to 7 years,2419,2357,62
E09000019,Islington,Arrived in the UK: Aged 60 to 64 years,343,288,55
E09000019,Islington,Arrived in the UK: Aged 65 to 74 years,332,301,31
E09000019,Islington,Arrived in the UK: Aged 75 to 84 years,100,92,8
E09000019,Islington,Arrived in the UK: Aged 8 to 9 years,1574,1618,-44
E09000019,Islington,Arrived in the UK: Aged 85 to 89 years,10,10,0
E09000019,Islington,Arrived in the UK: Aged 90 years and over,6,4,2
E09000019,Islington,Born in the UK,130213,133095,-2882
E09000020,Kensington and Chelsea,Arrived in the UK: Aged 0 to 4 years,5762,6722,-960
E09000020,Kensington and Chelsea,Arrived in the UK: Aged 10 to 14 years,3630,3978,-348
E09000020,Kensington and Chelsea,Arrived in the UK: Aged 15 years,987,993,-6
E09000020,Kensington and Chelsea,Arrived in the UK: Aged 16 to 17 years,3282,3451,-169
E09000020,Kensington and Chelsea,Arrived in the UK: Aged 18 to 19 years,4559,4591,-32
E09000020,Kensington and Chelsea,Arrived in the UK: Aged 20 to 24 years,13915,15016,-1101
E09000020,Kensington and Chelsea,Arrived in the UK: Aged 25 to 29 years,13682,16827,-3145
E09000020,Kensington and Chelsea,Arrived in the UK: Aged 30 to 44 years,19530,20675,-1145
E09000020,Kensington and Chelsea,Arrived in the UK: Aged 45 to 59 years,6709,4663,2046
E09000020,Kensington and Chelsea,Arrived in the UK: Aged 5 to 7 years,2283,2379,-96
E09000020,Kensington and Chelsea,Arrived in the UK: Aged 60 to 64 years,698,535,163
E09000020,Kensington and Chelsea,Arrived in the UK: Aged 65 to 74 years,654,387,267
E09000020,Kensington and Chelsea,Arrived in the UK: Aged 75 to 84 years,227,133,94
E09000020,Kensington and Chelsea,Arrived in the UK: Aged 8 to 9 years,1361,1530,-169
E09000020,Kensington and Chelsea,Arrived in the UK: Aged 85 to 89 years,24,22,2
E09000020,Kensington and Chelsea,Arrived in the UK: Aged 90 years and over,10,9,1
E09000020,Kensington and Chelsea,Born in the UK,66063,76738,-10675
E09000021,Kingston upon Thames,Arrived in the UK: Aged 0 to 4 years,5398,4794,604
E09000021,Kingston upon Thames,Arrived in the UK: Aged 10 to 14 years,3306,3114,192
E09000021,Kingston upon Thames,Arrived in the UK: Aged 15 years,719,661,58
E09000021,Kingston upon Thames,Arrived in the UK: Aged 16 to 17 years,2009,2025,-16
E09000021,Kingston upon Thames,Arrived in the UK: Aged 18 to 19 years,3267,3259,8
E09000021,Kingston upon Thames,Arrived in the UK: Aged 20 to 24 years,10172,8969,1203
E09000021,Kingston upon Thames,Arrived in the UK: Aged 25 to 29 years,10165,7688,2477
E09000021,Kingston upon Thames,Arrived in the UK: Aged 30 to 44 years,13646,9021,4625
E09000021,Kingston upon Thames,Arrived in the UK: Aged 45 to 59 years,3258,1866,1392
E09000021,Kingston upon Thames,Arrived in the UK: Aged 5 to 7 years,2304,1969,335
E09000021,Kingston upon Thames,Arrived in the UK: Aged 60 to 64 years,388,234,154
E09000021,Kingston upon Thames,Arrived in the UK: Aged 65 to 74 years,426,290,136
E09000021,Kingston upon Thames,Arrived in the UK: Aged 75 to 84 years,117,77,40
E09000021,Kingston upon Thames,Arrived in the UK: Aged 8 to 9 years,1454,1254,200
E09000021,Kingston upon Thames,Arrived in the UK: Aged 85 to 89 years,18,16,2
E09000021,Kingston upon Thames,Arrived in the UK: Aged 90 years and over,3,3,0
E09000021,Kingston upon Thames,Born in the UK,111412,114820,-3408
E09000022,Lambeth,Arrived in the UK: Aged 0 to 4 years,8871,9439,-568
