lsoa21cd,category,count_21,count_11,change
E01000018,5. Skilled trades occupations,110,78,32
E01000018,"6. Caring, leisure and other service occupations",101,70,31
E01000018,7. Sales and customer service occupations,68,66,2
E01000018,"8. Process, plant and machine operatives",63,61,2
E01000018,9. Elementary occupations,151,112,39
E01000019,"1. Managers, directors and senior officials",61,41,20
E01000019,2. Professional occupations,87,59,28
E01000019,3. Associate professional and technical occupations,62,27,35
E01000019,4. Administrative and secretarial occupations,75,93,-18
E01000019,5. Skilled trades occupations,78,61,17
E01000019,"6. Caring, leisure and other service occupations",68,63,5
E01000019,7. Sales and customer service occupations,55,60,-5
E01000019,"8. Process, plant and machine operatives",78,49,29
E01000019,9. Elementary occupations,125,86,39
E01000020,"1. Managers, directors and senior officials",52,48,4
E01000020,2. Professional occupations,122,88,34
E01000020,3. Associate professional and technical occupations,99,46,53
E01000020,4. Administrative and secretarial occupations,99,99,0
E01000020,5. Skilled trades occupations,118,87,31
E01000020,"6. Caring, leisure and other service occupations",84,78,6
E01000020,7. Sales and customer service occupations,61,51,10
E01000020,"8. Process, plant and machine operatives",96,70,26
E01000020,9. Elementary occupations,167,105,62
E01000021,"1. Managers, directors and senior officials",46,46,0
E01000021,2. Professional occupations,84,69,15
E01000021,3. Associate professional and technical occupations,69,28,41
E01000021,4. Administrative and secretarial occupations,59,72,-13
E01000021,5. Skilled trades occupations,98,93,5
E01000021,"6. Caring, leisure and other service occupations",96,76,20
E01000021,7. Sales and customer service occupations,63,42,21
E01000021,"8. Process, plant and machine operatives",62,52,10
E01000021,9. Elementary occupations,104,108,-4
E01000022,"1. Managers, directors and senior officials",50,27,23
E01000022,2. Professional occupations,101,67,34
E01000022,3. Associate professional and technical occupations,56,25,31
E01000022,4. Administrative and secretarial occupations,66,68,-2
E01000022,5. Skilled trades occupations,67,60,7
E01000022,"6. Caring, leisure and other service occupations",76,53,23
E01000022,7. Sales and customer service occupations,64,54,10
E01000022,"8. Process, plant and machine operatives",61,49,12
E01000022,9. Elementary occupations,95,91,4
E01000024,"1. Managers, directors and senior officials",40,23,17
E01000024,2. Professional occupations,101,60,41
E01000024,3. Associate professional and technical occupations,61,25,36
E01000024,4. Administrative and secretarial occupations,59,70,-11
E01000024,5. Skilled trades occupations,75,53,22
E01000024,"6. Caring, leisure and other service occupations",61,66,-5
E01000024,7. Sales and customer service occupations,49,54,-5
E01000024,"8. Process, plant and machine operatives",75,69,6
E01000024,9. Elementary occupations,106,87,19
E01000025,"1. Managers, directors and senior officials",57,39,18
E01000025,2. Professional occupations,113,98,15
E01000025,3. Associate professional and technical occupations,92,26,66
E01000025,4. Administrative and secretarial occupations,88,87,1
E01000025,5. Skilled trades occupations,90,71,19
E01000025,"6. Caring, leisure and other service occupations",100,73,27
E01000025,7. Sales and customer service occupations,83,63,20
E01000025,"8. Process, plant and machine operatives",66,71,-5
E01000025,9. Elementary occupations,156,119,37
E01000027,"1. Managers, directors and senior officials",78,46,32
E01000027,2. Professional occupations,104,79,25
E01000027,3. Associate professional and technical occupations,83,29,54
