lsoa21cd,category,count_21,count_11,change
E01000053,Works mainly from home,110,44,66
E01000054,10km to less than 20km,151,177,-26
E01000054,20km to less than 30km,31,44,-13
E01000054,2km to less than 5km,111,133,-22
E01000054,30km to less than 40km,14,6,8
E01000054,40km to less than 60km,6,7,-1
E01000054,5km to less than 10km,89,95,-6
E01000054,60km and over,5,20,-15
E01000054,Less than 2km,68,89,-21
E01000054,"Works mainly at an offshore installation, in no fixed place, or outside the UK",196,93,103
E01000054,Works mainly from home,143,30,113
E01000055,10km to less than 20km,142,187,-45
E01000055,20km to less than 30km,50,33,17
E01000055,2km to less than 5km,90,109,-19
E01000055,30km to less than 40km,10,11,-1
E01000055,40km to less than 60km,7,4,3
E01000055,5km to less than 10km,108,97,11
E01000055,60km and over,10,6,4
E01000055,Less than 2km,58,77,-19
E01000055,"Works mainly at an offshore installation, in no fixed place, or outside the UK",165,105,60
E01000055,Works mainly from home,112,35,77
E01000056,10km to less than 20km,119,156,-37
E01000056,20km to less than 30km,32,40,-8
E01000056,2km to less than 5km,92,94,-2
E01000056,30km to less than 40km,5,8,-3
E01000056,40km to less than 60km,5,2,3
E01000056,5km to less than 10km,100,96,4
E01000056,60km and over,7,13,-6
E01000056,Less than 2km,57,76,-19
E01000056,"Works mainly at an offshore installation, in no fixed place, or outside the UK",169,86,83
E01000056,Works mainly from home,116,38,78
E01000057,10km to less than 20km,105,171,-66
E01000057,20km to less than 30km,43,25,18
E01000057,2km to less than 5km,71,116,-45
E01000057,30km to less than 40km,14,8,6
E01000057,40km to less than 60km,10,5,5
E01000057,5km to less than 10km,87,85,2
E01000057,60km and over,13,10,3
E01000057,Less than 2km,51,59,-8
E01000057,"Works mainly at an offshore installation, in no fixed place, or outside the UK",149,85,64
E01000057,Works mainly from home,112,31,81
E01000058,10km to less than 20km,192,225,-33
E01000058,20km to less than 30km,45,58,-13
E01000058,2km to less than 5km,107,147,-40
E01000058,30km to less than 40km,11,12,-1
E01000058,40km to less than 60km,1,5,-4
E01000058,5km to less than 10km,104,93,11
E01000058,60km and over,25,9,16
E01000058,Less than 2km,65,82,-17
E01000058,"Works mainly at an offshore installation, in no fixed place, or outside the UK",239,125,114
E01000058,Works mainly from home,136,40,96
E01000059,10km to less than 20km,152,154,-2
E01000059,20km to less than 30km,44,36,8
E01000059,2km to less than 5km,88,102,-14
E01000059,30km to less than 40km,11,15,-4
E01000059,40km to less than 60km,4,4,0
E01000059,5km to less than 10km,103,108,-5
E01000059,60km and over,9,5,4
E01000059,Less than 2km,59,86,-27
E01000059,"Works mainly at an offshore installation, in no fixed place, or outside the UK",192,78,114
E01000059,Works mainly from home,121,33,88
E01000060,10km to less than 20km,148,149,-1
E01000060,20km to less than 30km,62,57,5
E01000060,2km to less than 5km,134,114,20
E01000060,30km to less than 40km,11,10,1
E01000060,40km to less than 60km,2,4,-2
E01000060,5km to less than 10km,63,108,-45
E01000060,60km and over,13,6,7
