gss_code_ward,ward_name,category,count_21
E05013630,Burnt Oak,"Motorcycle, scooter or moped",90
E05013630,Burnt Oak,Driving a car or van,3065
E05013630,Burnt Oak,Passenger in a car or van,306
E05013630,Burnt Oak,Bicycle,97
E05013630,Burnt Oak,On foot,611
E05013630,Burnt Oak,Other method of travel to work,157
E05013630,Burnt Oak,Not in employment or aged 15 years and under,11890
E05013634,Cricklewood,Work mainly at or from home,1512
E05013634,Cricklewood,"Underground, metro, light rail, tram",560
E05013634,Cricklewood,Train,163
E05013634,Cricklewood,"Bus, minibus or coach",755
E05013634,Cricklewood,Taxi,25
E05013634,Cricklewood,"Motorcycle, scooter or moped",50
E05013634,Cricklewood,Driving a car or van,975
E05013634,Cricklewood,Passenger in a car or van,75
E05013634,Cricklewood,Bicycle,101
E05013634,Cricklewood,On foot,260
E05013634,Cricklewood,Other method of travel to work,96
E05013634,Cricklewood,Not in employment or aged 15 years and under,5847
E05013631,Childs Hill,Work mainly at or from home,4538
E05013631,Childs Hill,"Underground, metro, light rail, tram",1075
E05013631,Childs Hill,Train,198
E05013631,Childs Hill,"Bus, minibus or coach",955
E05013631,Childs Hill,Taxi,76
E05013631,Childs Hill,"Motorcycle, scooter or moped",60
E05013631,Childs Hill,Driving a car or van,1544
E05013631,Childs Hill,Passenger in a car or van,114
E05013631,Childs Hill,Bicycle,191
E05013631,Childs Hill,On foot,480
E05013631,Childs Hill,Other method of travel to work,144
E05013631,Childs Hill,Not in employment or aged 15 years and under,10019
E05013633,Colindale South,Work mainly at or from home,3923
E05013633,Colindale South,"Underground, metro, light rail, tram",1743
E05013633,Colindale South,Train,241
E05013633,Colindale South,"Bus, minibus or coach",874
E05013633,Colindale South,Taxi,56
E05013633,Colindale South,"Motorcycle, scooter or moped",57
E05013633,Colindale South,Driving a car or van,2121
E05013633,Colindale South,Passenger in a car or van,159
E05013633,Colindale South,Bicycle,88
E05013633,Colindale South,On foot,438
E05013633,Colindale South,Other method of travel to work,126
E05013633,Colindale South,Not in employment or aged 15 years and under,9153
E05013640,Friern Barnet,Work mainly at or from home,3696
E05013640,Friern Barnet,"Underground, metro, light rail, tram",885
E05013640,Friern Barnet,Train,238
E05013640,Friern Barnet,"Bus, minibus or coach",945
E05013640,Friern Barnet,Taxi,48
E05013640,Friern Barnet,"Motorcycle, scooter or moped",83
E05013640,Friern Barnet,Driving a car or van,2373
E05013640,Friern Barnet,Passenger in a car or van,139
E05013640,Friern Barnet,Bicycle,159
E05013640,Friern Barnet,On foot,445
E05013640,Friern Barnet,Other method of travel to work,154
E05013640,Friern Barnet,Not in employment or aged 15 years and under,9904
E05013651,Woodhouse,Work mainly at or from home,2852
E05013651,Woodhouse,"Underground, metro, light rail, tram",825
E05013651,Woodhouse,Train,102
E05013651,Woodhouse,"Bus, minibus or coach",688
E05013651,Woodhouse,Taxi,46
E05013651,Woodhouse,"Motorcycle, scooter or moped",45
E05013651,Woodhouse,Driving a car or van,1688
E05013651,Woodhouse,Passenger in a car or van,121
E05013651,Woodhouse,Bicycle,96
E05013651,Woodhouse,On foot,454
E05013651,Woodhouse,Other method of travel to work,96
E05013651,Woodhouse,Not in employment or aged 15 years and under,7168
E05013636,East Finchley,Work mainly at or from home,4015
E05013636,East Finchley,"Underground, metro, light rail, tram",986
E05013636,East Finchley,Train,138
E05013636,East Finchley,"Bus, minibus or coach",526
E05013636,East Finchley,Taxi,32
E05013636,East Finchley,"Motorcycle, scooter or moped",52
E05013636,East Finchley,Driving a car or van,1499
E05013636,East Finchley,Passenger in a car or van,91
E05013636,East Finchley,Bicycle,169
E05013636,East Finchley,On foot,428
E05013636,East Finchley,Other method of travel to work,98
E05013636,East Finchley,Not in employment or aged 15 years and under,8296
E05013641,Garden Suburb,Work mainly at or from home,3744
E05013641,Garden Suburb,"Underground, metro, light rail, tram",431
E05013641,Garden Suburb,Train,54
E05013641,Garden Suburb,"Bus, minibus or coach",199
E05013641,Garden Suburb,Taxi,32
E05013641,Garden Suburb,"Motorcycle, scooter or moped",23
E05013641,Garden Suburb,Driving a car or van,1081
E05013641,Garden Suburb,Passenger in a car or van,63
E05013641,Garden Suburb,Bicycle,76
E05013641,Garden Suburb,On foot,173
E05013641,Garden Suburb,Other method of travel to work,73
E05013641,Garden Suburb,Not in employment or aged 15 years and under,6726
E05013638,Edgwarebury,Work mainly at or from home,2170
E05013638,Edgwarebury,"Underground, metro, light rail, tram",406
E05013638,Edgwarebury,Train,136
E05013638,Edgwarebury,"Bus, minibus or coach",392
E05013638,Edgwarebury,Taxi,25
E05013638,Edgwarebury,"Motorcycle, scooter or moped",21
E05013638,Edgwarebury,Driving a car or van,1938
E05013638,Edgwarebury,Passenger in a car or van,142
E05013638,Edgwarebury,Bicycle,33
E05013638,Edgwarebury,On foot,219
E05013638,Edgwarebury,Other method of travel to work,75
E05013638,Edgwarebury,Not in employment or aged 15 years and under,6779
E05013637,Edgware,Work mainly at or from home,4119
E05013637,Edgware,"Underground, metro, light rail, tram",992
E05013637,Edgware,Train,323
E05013637,Edgware,"Bus, minibus or coach",608
E05013637,Edgware,Taxi,52
E05013637,Edgware,"Motorcycle, scooter or moped",33
E05013637,Edgware,Driving a car or van,2678
E05013637,Edgware,Passenger in a car or van,170
E05013637,Edgware,Bicycle,75
E05013637,Edgware,On foot,429
E05013637,Edgware,Other method of travel to work,109
E05013637,Edgware,Not in employment or aged 15 years and under,10189
E05013639,Finchley Church End,Work mainly at or from home,4759
E05013639,Finchley Church End,"Underground, metro, light rail, tram",988
E05013639,Finchley Church End,Train,137
E05013639,Finchley Church End,"Bus, minibus or coach",571
E05013639,Finchley Church End,Taxi,37
E05013639,Finchley Church End,"Motorcycle, scooter or moped",64
E05013639,Finchley Church End,Driving a car or van,1942
E05013639,Finchley Church End,Passenger in a car or van,109
E05013639,Finchley Church End,Bicycle,115
E05013639,Finchley Church End,On foot,380
E05013639,Finchley Church End,Other method of travel to work,96
E05013639,Finchley Church End,Not in employment or aged 15 years and under,9646
E05013642,Golders Green,Work mainly at or from home,2652
E05013642,Golders Green,"Underground, metro, light rail, tram",721
E05013642,Golders Green,Train,104
E05013642,Golders Green,"Bus, minibus or coach",570
E05013642,Golders Green,Taxi,28
E05013642,Golders Green,"Motorcycle, scooter or moped",39
