gss_code_ward,ward_name,category,count_21
E05013513,Welsh Harp,Main language is not English (English or Welsh in Wales): Cannot speak English,191
E05013498,Brondesbury Park,Main language is English (English or Welsh in Wales),9844
E05013498,Brondesbury Park,Main language is not English (English or Welsh in Wales): Can speak English very well,1606
E05013498,Brondesbury Park,Main language is not English (English or Welsh in Wales): Can speak English well,1114
E05013498,Brondesbury Park,Main language is not English (English or Welsh in Wales): Cannot speak English well,493
E05013498,Brondesbury Park,Main language is not English (English or Welsh in Wales): Cannot speak English,119
E05013500,Dollis Hill,Main language is English (English or Welsh in Wales),13445
E05013500,Dollis Hill,Main language is not English (English or Welsh in Wales): Can speak English very well,2477
E05013500,Dollis Hill,Main language is not English (English or Welsh in Wales): Can speak English well,2971
E05013500,Dollis Hill,Main language is not English (English or Welsh in Wales): Cannot speak English well,1586
E05013500,Dollis Hill,Main language is not English (English or Welsh in Wales): Cannot speak English,308
E05013509,Roundwood,Main language is English (English or Welsh in Wales),11174
E05013509,Roundwood,Main language is not English (English or Welsh in Wales): Can speak English very well,1708
E05013509,Roundwood,Main language is not English (English or Welsh in Wales): Can speak English well,1919
E05013509,Roundwood,Main language is not English (English or Welsh in Wales): Cannot speak English well,1029
E05013509,Roundwood,Main language is not English (English or Welsh in Wales): Cannot speak English,166
E05013517,Willesden Green,Main language is English (English or Welsh in Wales),12595
E05013517,Willesden Green,Main language is not English (English or Welsh in Wales): Can speak English very well,2379
E05013517,Willesden Green,Main language is not English (English or Welsh in Wales): Can speak English well,2205
E05013517,Willesden Green,Main language is not English (English or Welsh in Wales): Cannot speak English well,1080
E05013517,Willesden Green,Main language is not English (English or Welsh in Wales): Cannot speak English,257
E05013504,Kingsbury,Main language is English (English or Welsh in Wales),7177
E05013504,Kingsbury,Main language is not English (English or Welsh in Wales): Can speak English very well,1495
E05013504,Kingsbury,Main language is not English (English or Welsh in Wales): Can speak English well,1491
E05013504,Kingsbury,Main language is not English (English or Welsh in Wales): Cannot speak English well,719
E05013504,Kingsbury,Main language is not English (English or Welsh in Wales): Cannot speak English,100
E05013508,Queensbury,Main language is English (English or Welsh in Wales),9636
E05013508,Queensbury,Main language is not English (English or Welsh in Wales): Can speak English very well,2490
E05013508,Queensbury,Main language is not English (English or Welsh in Wales): Can speak English well,2857
E05013508,Queensbury,Main language is not English (English or Welsh in Wales): Cannot speak English well,1123
E05013508,Queensbury,Main language is not English (English or Welsh in Wales): Cannot speak English,183
E05013501,Harlesden & Kensal Green,Main language is English (English or Welsh in Wales),14078
E05013501,Harlesden & Kensal Green,Main language is not English (English or Welsh in Wales): Can speak English very well,1929
