ward22cd,ward_name,lad22cd,lad22nm,Simpson's 2011,Simpson's standardised 2011,Simpson's 2021,Simpson's standardised 2021,Simpson's change,Simpson's standardised change
E05011247,Loxford,E09000026,Redbridge,3.38768963050161,0.704813572354345,3.13324877142572,0.680842450455994,-0.254440859075887,-0.0239711218983507
E05011248,Mayfield,E09000026,Redbridge,4.08942427273309,0.755466800872762,3.26234438721443,0.693471969446532,-0.827079885518658,-0.0619948314262299
E05011249,Monkhams,E09000026,Redbridge,2.70101765977252,0.629769173710542,3.42118750296496,0.707703831159984,0.720169843192444,0.077934657449442
E05011250,Newbury,E09000026,Redbridge,4.80028455874175,0.791679016574359,4.20584243100364,0.762235505394012,-0.594442127738115,-0.0294435111803473
E05011251,Seven Kings,E09000026,Redbridge,4.53276627308665,0.779384168573281,3.93922031596775,0.746142657736997,-0.593545957118898,-0.0332415108362838
E05011252,South Woodford,E09000026,Redbridge,3.4024585020856,0.706094872461477,3.86834339332939,0.741491409029402,0.465884891243786,0.0353965365679254
E05011253,Valentines,E09000026,Redbridge,4.34642864901257,0.769926051765009,3.5512047663401,0.718405424131426,-0.795223882672471,-0.0515206276335833
E05011254,Wanstead Park,E09000026,Redbridge,3.07222720668569,0.674503240572888,3.45942073931598,0.710934264619768,0.387193532630294,0.0364310240468803
E05011255,Wanstead Village,E09000026,Redbridge,3.04605822399431,0.671706866230319,3.39340440138285,0.705310690469875,0.347346177388537,0.0336038242395554
E05011462,Addiscombe East,E09000008,Croydon,2.55725909474125,0.608956322784657,2.86525213637028,0.650990575207525,0.307993041629028,0.0420342524228684
E05011463,Addiscombe West,E09000008,Croydon,3.06097554667221,0.67330676617552,3.28104061715236,0.695218646556132,0.220065070480145,0.0219118803806116
E05011464,Bensham Manor,E09000008,Croydon,2.91805725047656,0.657306243790561,3.10333794508494,0.67776632203921,0.185280694608379,0.020460078248649
E05011465,Broad Green,E09000008,Croydon,3.21738336192637,0.689188421922695,3.5064671707852,0.714812672900037,0.289083808858828,0.025624250977342
E05011466,Coulsdon Town,E09000008,Croydon,2.34718419974671,0.573957595612686,2.95236345319785,0.661288314988166,0.605179253451138,0.08733071937548
E05011467,Crystal Palace & Upper Norwood,E09000008,Croydon,2.56487001304015,0.610116694056283,2.83063572668335,0.646722469241318,0.265765713643195,0.0366057751850348
E05011468,Fairfield,E09000008,Croydon,3.13944561960669,0.681472425018376,3.3717136157068,0.70341490589782,0.232267996100105,0.0219424808794444
