lad22cd,lad22nm,lsoa21cd,category,count_21,count_11,change
E09000008,Croydon,E01000977,"5 years or more, but less than 10 years",141,133,8
E09000008,Croydon,E01000977,Born in the UK,1133,1068,65
E09000008,Croydon,E01000977,Less than 2 years,105,68,37
E09000008,Croydon,E01000978,10 years or more,418,248,170
E09000008,Croydon,E01000978,"2 years or more, but less than 5 years",136,170,-34
E09000008,Croydon,E01000978,"5 years or more, but less than 10 years",141,155,-14
E09000008,Croydon,E01000978,Born in the UK,939,1074,-135
E09000008,Croydon,E01000978,Less than 2 years,96,128,-32
E09000008,Croydon,E01000979,10 years or more,435,265,170
E09000008,Croydon,E01000979,"2 years or more, but less than 5 years",124,143,-19
E09000008,Croydon,E01000979,"5 years or more, but less than 10 years",154,161,-7
E09000008,Croydon,E01000979,Born in the UK,980,1030,-50
E09000008,Croydon,E01000979,Less than 2 years,65,104,-39
E09000008,Croydon,E01000980,10 years or more,338,239,99
E09000008,Croydon,E01000980,"2 years or more, but less than 5 years",51,47,4
E09000008,Croydon,E01000980,"5 years or more, but less than 10 years",97,91,6
E09000008,Croydon,E01000980,Born in the UK,970,1020,-50
E09000008,Croydon,E01000980,Less than 2 years,44,10,34
E09000008,Croydon,E01000981,10 years or more,342,220,122
E09000008,Croydon,E01000981,"2 years or more, but less than 5 years",67,53,14
E09000008,Croydon,E01000981,"5 years or more, but less than 10 years",119,92,27
E09000008,Croydon,E01000981,Born in the UK,1174,1256,-82
E09000008,Croydon,E01000981,Less than 2 years,28,21,7
E09000008,Croydon,E01000982,10 years or more,337,222,115
E09000008,Croydon,E01000982,"2 years or more, but less than 5 years",67,71,-4
E09000008,Croydon,E01000982,"5 years or more, but less than 10 years",91,103,-12
E09000008,Croydon,E01000982,Born in the UK,1149,1157,-8
E09000008,Croydon,E01000982,Less than 2 years,40,51,-11
E09000008,Croydon,E01000983,10 years or more,407,259,148
E09000008,Croydon,E01000983,"2 years or more, but less than 5 years",66,62,4
E09000008,Croydon,E01000983,"5 years or more, but less than 10 years",118,72,46
E09000008,Croydon,E01000983,Born in the UK,1184,1286,-102
E09000008,Croydon,E01000983,Less than 2 years,49,33,16
E09000008,Croydon,E01000984,10 years or more,480,375,105
E09000008,Croydon,E01000984,"2 years or more, but less than 5 years",116,110,6
E09000008,Croydon,E01000984,"5 years or more, but less than 10 years",92,152,-60
E09000008,Croydon,E01000984,Born in the UK,1154,1140,14
E09000008,Croydon,E01000984,Less than 2 years,66,52,14
E09000008,Croydon,E01000985,10 years or more,316,268,48
E09000008,Croydon,E01000985,"2 years or more, but less than 5 years",10,23,-13
